BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,PURCHASE_TO_LIMIT_RATIO,CASH_TO_PURCHASE_RATIO,PAYMENT_TO_MINIMUM_RATIO
3.735303702663308,0.818182,4.5685062016165,0.0,4.5685062016165,0.0,0.166667,0.0,0.083333,0.0,0.0,1.0986122886681098,6.90875477931522,5.312230547798351,4.945277144710759,0.0,0.0953046953046953,0.0,1.4362137208278596
8.07198906965229,0.909091,0.0,0.0,0.0,8.77089628414314,0.0,0.0,0.0,0.25,1.6094379124341003,0.0,8.853808274977197,8.319725329557853,6.978530763203816,0.222222,0.0,6442.945483,3.8226766611503953
7.82250436793527,1.0,6.651791487715673,6.651791487715673,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.5649493574615367,8.922791623969637,6.434653643065494,6.442993546160168,0.0,0.10307558992134382,0.0,0.9901031425101177
7.419183046623112,0.636364,7.313220387090301,7.313220387090301,0.0,5.331694196081131,0.083333,0.083333,0.0,0.083333,0.6931471805599453,0.6931471805599453,8.922791623969637,0.0,5.747301459426504,0.0,0.19984002133048928,0.13719201133333334,0.0
6.70773522569534,1.0,2.833213344056216,2.833213344056216,0.0,0.0,0.083333,0.083333,0.0,0.0,0.0,0.6931471805599453,7.0909098220799835,6.521114029626576,5.5044825455607045,0.0,0.013322231473771857,0.0,2.7598004358471084
7.5015398929484585,1.0,7.1961470995031585,0.0,7.1961470995031585,0.0,0.666667,0.0,0.583333,0.0,0.0,2.1972245773362196,7.496097345175956,7.244982780319138,7.786653975212626,0.0,0.7402998334258745,0.0,0.5813599398285731
6.442955376434953,1.0,8.866724077232586,8.764620296057728,6.535792642927974,0.0,1.0,1.0,1.0,0.0,0.0,4.174387269895637,9.510519035757246,8.757046643926731,5.293635895542641,1.0,0.5252210947337235,0.0,31.920658030953312
7.509144970103254,1.0,6.080390756302384,0.0,6.080390756302384,0.0,1.0,0.0,1.0,0.0,0.0,2.5649493574615367,7.741099090035366,6.522188502413885,6.278585193239496,0.0,0.18956975228161668,0.0,1.2739620638451217
6.92355625642517,1.0,6.759823554635403,6.496005463406834,5.303304908059076,0.0,0.333333,0.083333,0.25,0.0,0.0,1.791759469228055,8.853808274977197,6.535645496995635,5.7460862795529755,0.0,0.12305242108270248,0.0,2.1992301598427435
5.031913792542936,0.545455,7.156644546714762,7.156644546714762,0.0,0.0,0.166667,0.166667,0.0,0.0,0.0,1.3862943611198906,9.305741456739435,7.06113759883932,4.618108740719055,0.0,0.11649850013635123,0.0,11.497972187432497
7.16559002295018,1.0,6.8255903209275,0.0,6.8255903209275,0.0,1.0,0.0,1.0,0.0,0.0,2.5649493574615367,7.0909098220799835,6.988690825187471,7.684185035477527,0.0,0.7661282264779351,0.0,0.4983678156378838
6.448564569245062,0.818182,7.308663352897687,7.308663352897687,0.0,0.0,0.25,0.25,0.0,0.0,0.0,1.9459101490553132,7.601402334583733,6.560491096026781,5.053369500772936,0.0,0.7457171414292854,0.0,4.507331991862563
7.325101934452095,1.0,8.076822924739153,7.824537889863976,6.577527505058253,0.0,1.0,0.25,0.916667,0.0,0.0,3.295836866004329,8.006700845440367,6.412251160861846,6.196865654011144,0.25,1.0723058980339886,0.0,1.2383041628112912
6.827296968040859,1.0,7.668060982974215,6.042537817291983,7.44948055322358,0.0,0.75,0.166667,0.75,0.0,0.0,3.295836866004329,8.922791623969637,7.412698496269839,5.5299765011453,0.083333,0.2850193307558992,0.0,6.56740168853415
7.927963670337596,1.0,0.0,0.0,0.0,5.851660350090109,0.0,0.0,0.0,0.083333,0.6931471805599453,0.0,8.006700845440367,6.692887357486858,6.898677062386753,0.0,0.0,346.81139,0.8129951198393341
8.83742181644191,1.0,7.38566507198647,0.0,7.38566507198647,7.741746975288393,0.5,0.0,0.5,0.166667,1.6094379124341003,2.4849066497880004,8.987321812850125,7.598118225657629,7.654872750325277,0.0,0.20143732033495815,1.4271044006944873,0.9443522422445155
